***
 This file comes from Vt only measurement 	 1.000000E+0 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 1000 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.001000	1.391009
	0.002000	1.289138
	0.003000	1.136655
	0.004000	0.948160
	0.005000	0.763559
	0.006000	0.636381
	0.007000	0.514071
	0.008000	0.439451
	0.009000	0.612698
	0.010000	0.854075
	0.011000	0.981577
	0.012000	0.917988
	0.013000	0.761288
	0.014000	0.880678
	0.015000	0.992607
	0.016000	1.084746
	0.017000	1.080204
	0.018000	1.066253
	0.019000	1.040623
	0.020000	1.000069
	0.021000	0.895602
	0.022000	0.738577
	0.023000	0.574739
	0.024000	0.460539
	0.025000	0.398897
	0.026000	0.655523
	0.027000	0.855048
	0.028000	0.946538
	0.029000	0.683100
	0.030000	0.676611
	0.031000	0.760963
	0.032000	0.861861
	0.033000	0.903713
	0.034000	0.870297
	0.035000	0.819361
	0.036000	0.741173
	0.037000	0.658118
	0.038000	0.580255
	0.039000	0.527048
	0.040000	0.504338
	0.041000	0.505635
	0.042000	0.545865
	0.043000	0.864132
	0.044000	1.021157
	0.045000	1.043867
	0.046000	0.873865
	0.047000	0.967626
	0.048000	1.057169
	0.049000	1.112971
	0.050000	1.079879
	0.051000	1.012722
	0.052000	0.914744
	0.053000	0.797624
	0.054000	0.702241
	0.055000	0.595827
	0.056000	0.540025
	0.057000	0.493307
	0.058000	0.463135
	0.059000	0.648385
	0.060000	0.896575
	0.061000	1.007207
	0.062000	0.956920
	0.063000	0.864781
	0.064000	0.973790
	0.065000	1.081177
	0.066000	1.152228
	0.067000	1.108105
	0.068000	1.049058
	0.069000	0.960164
	0.070000	0.890087
	0.071000	0.841422
	0.072000	0.823903
	0.073000	0.835258
	0.074000	0.853751
	0.075000	0.854075
	0.076000	0.947836
	0.077000	1.149957
	0.078000	1.213221
	0.079000	0.970546
	0.080000	1.001691
	0.081000	1.045490
	0.082000	1.111349
	0.083000	1.135357
	0.084000	1.082150
	0.085000	1.012722
	0.086000	0.918961
	0.087000	0.816116
	0.088000	0.702890
	0.089000	0.606858
	0.090000	0.527372
	0.091000	0.457295
	0.092000	0.448211
	0.093000	0.768425
	0.094000	0.923828
	0.095000	0.933236
	0.096000	0.745715
	0.097000	0.847586
	0.098000	0.941023
	0.099000	1.017264
	0.100000	1.025699
	0.101000	1.016291
	0.102000	0.984172
	0.103000	0.916041
	0.104000	0.851155
	0.105000	0.751879
	0.106000	0.662985
	0.107000	0.587392
	0.108000	0.531590
	0.109000	0.653252
	0.110000	0.872568
	0.111000	0.951404
	0.112000	0.856346
	0.113000	0.723978
	0.114000	0.832662
	0.115000	0.935183
	0.116000	1.005260
	0.117000	0.974439
	0.118000	0.953351
	0.119000	0.892033
	0.120000	0.827796
	0.121000	0.771345
	0.122000	0.703863
	0.123000	0.641897
	0.124000	0.604587
	0.125000	0.605236
	0.126000	0.779456
	0.127000	1.001367
	0.128000	1.097723
	0.129000	0.878083
	0.130000	0.969897
	0.131000	1.060089
	0.132000	1.145415
	0.133000	1.167476
	0.134000	1.117513
	0.135000	1.052627
	0.136000	0.967626
	0.137000	0.871594
	0.138000	0.775238
	0.139000	0.676611
	0.140000	0.586419
	0.141000	0.524128
	0.142000	0.530617
	0.143000	0.816765
	0.144000	0.970870
	0.145000	0.976386
	0.146000	0.856670
	0.147000	0.945565
	0.148000	1.013695
	0.149000	1.054898
	0.150000	1.053276
	0.151000	1.063658
	0.152000	1.041272
	0.153000	0.974764
	0.154000	0.880678
	0.155000	0.768749
	0.156000	0.678557
	0.157000	0.601018
	0.158000	0.548785
	0.159000	0.659092
	0.160000	0.887491
	0.161000	0.988390
	0.162000	0.905011
	0.163000	0.892033
	0.164000	1.026348
	0.165000	1.131464
	0.166000	1.190186
	0.167000	1.121082
	0.168000	1.031539
	0.169000	0.909228
	0.170000	0.826174
	0.171000	0.769398
	0.172000	0.704836
	0.173000	0.650656
	0.174000	0.602640
	0.175000	0.572468
	0.176000	0.734360
	0.177000	0.961137
	0.178000	1.057494
	0.179000	0.857644
	0.180000	0.957893
	0.181000	1.035432
	0.182000	1.112971
	0.183000	1.129517
	0.184000	1.068849
	0.185000	0.978981
	0.186000	0.877110
